ID WinPercent avg_score info_value info_mod draw end pair
40 22.6 10.5 3 0.4 1 0 2
41 22.9 10.6 3 0.5 1 0 2
35 23.3 10.5 2.5 0.5 1 0 2
38 23.4 10.6 3 0.2 1 0 2
32 23.5 10.5 2.5 0.2 1 0 2
37 23.8 10.6 3 0.1 1 0 2
34 23.8 10.4 2.5 0.4 1 0 2
39 23.8 10.6 3 0.3 1 0 2
25 24.0 10.5 2 0.1 1 0 2
28 24.0 10.6 2 0.4 1 0 2
36 24.0 10.7 3 0 1 0 2
29 24.0 10.3 2 0.5 1 0 2
31 24.2 10.6 2.5 0.1 1 0 2
33 24.5 10.3 2.5 0.3 1 0 2
24 24.5 10.6 2 0 1 0 2
17 24.7 10.4 1 0.5 1 0 2
30 24.7 10.6 2.5 0 1 0 2
27 24.7 10.4 2 0.3 1 0 2
21 24.7 10.4 1.5 0.3 1 0 2
23 24.8 10.5 1.5 0.5 1 0 2
22 24.9 10.3 1.5 0.4 1 0 2
16 25.0 10.3 1 0.4 1 0 2
26 25.0 10.3 2 0.2 1 0 2
20 25.1 10.2 1.5 0.2 1 0 2
15 25.1 10.4 1 0.3 1 0 2
19 25.2 10.5 1.5 0.1 1 0 2
14 25.4 10.4 1 0.2 1 0 2
13 25.5 10.5 1 0.1 1 0 2
18 25.6 10.5 1.5 0 1 0 2
11 25.8 10.3 0.5 0.5 1 0 2
3 25.9 10.2 0 0.3 1 0 2
7 25.9 10.4 0.5 0.1 1 0 2
6 25.9 10.3 0.5 0 1 0 2
5 26.1 10.3 0 0.5 1 0 2
10 26.1 10.3 0.5 0.4 1 0 2
12 26.1 10.3 1 0 1 0 2
8 26.2 10.2 0.5 0.2 1 0 2
0 26.3 10.3 0 0 1 0 2
4 26.5 10.3 0 0.4 1 0 2
1 26.5 10.4 0 0.1 1 0 2
9 26.9 10.2 0.5 0.3 1 0 2
2 26.9 10.3 0 0.2 1 0 2
