ID WinPercent avg_score info_value draw end pair
47 23.3 16.8 0 0 8 4
55 23.4 16.8 0 0 12 5
53 23.5 16.9 0 0 12 3
50 23.6 17.1 0 0 12 0
48 23.7 16.7 0 0 8 5
49 23.7 17.1 0 0 12 -4
54 23.7 16.7 0 0 12 4
51 23.8 17.0 0 0 12 1
42 23.9 17.2 0 0 8 -4
52 24.0 17.0 0 0 12 2
35 24.0 17.1 0 0 4 -4
45 24.1 16.9 0 0 8 2
39 24.1 16.9 0 0 4 3
46 24.2 16.9 0 0 8 3
41 24.3 16.6 0 0 4 5
40 24.3 16.8 0 0 4 4
44 24.4 17.0 0 0 8 1
43 24.5 16.9 0 0 8 0
38 24.5 16.9 0 0 4 2
36 24.6 16.9 0 0 4 0
33 24.6 16.8 0 0 0 4
34 24.7 16.7 0 0 0 5
23 24.7 14.2 0 1 12 1
28 24.7 17.1 0 0 0 -4
30 24.7 17.1 0 0 0 1
31 24.8 17.0 0 0 0 2
27 24.8 14.5 0 1 12 5
26 24.8 14.4 0 1 12 4
37 24.9 16.8 0 0 4 1
29 25.0 17.0 0 0 0 0
16 25.0 14.3 0 1 8 1
32 25.1 16.8 0 0 0 3
18 25.2 14.3 0 1 8 3
17 25.3 14.2 0 1 8 2
19 25.3 14.2 0 1 8 4
22 25.3 14.4 0 1 12 0
20 25.4 14.4 0 1 8 5
25 25.4 14.2 0 1 12 3
24 25.4 14.1 0 1 12 2
14 25.4 14.2 0 1 8 -4
21 25.5 14.1 0 1 12 -4
11 25.6 14.3 0 1 4 3
13 25.8 14.4 0 1 4 5
15 25.8 14.1 0 1 8 0
12 25.8 14.2 0 1 4 4
9 25.8 14.2 0 1 4 1
6 25.9 14.5 0 1 0 5
8 26.0 14.2 0 1 4 0
10 26.0 14.2 0 1 4 2
7 26.1 14.2 0 1 4 -4
1 26.2 14.3 0 1 0 0
2 26.2 14.3 0 1 0 1
5 26.4 14.3 0 1 0 4
3 26.5 14.2 0 1 0 2
0 26.6 14.2 0 1 0 -4
4 26.7 14.4 0 1 0 3
