ID WinPercent avg_score info_value info_mod draw end pair
46 22.9 10.9 2 0 1 -4 2
40 23.2 10.8 0.5 0 1 -4 2
44 23.2 10.7 1 0 1 0 2
33 23.2 10.8 -0.5 0 1 -8 2
41 23.4 10.6 0.5 0 1 0 2
47 23.5 10.8 2 0 1 0 2
45 23.6 10.9 2 0 1 -8 2
42 23.6 10.8 1 0 1 -8 2
43 23.8 10.7 1 0 1 -4 2
38 24.0 10.5 0 0 1 0 2
36 24.1 10.7 0 0 1 -8 2
39 24.1 10.8 0.5 0 1 -8 2
34 24.2 10.5 -0.5 0 1 -4 2
32 24.3 10.4 -1 0 1 0 2
37 24.3 10.6 0 0 1 -4 2
31 24.4 10.5 -1 0 1 -4 2
35 24.4 10.7 -0.5 0 1 0 2
30 24.4 10.6 -1 0 1 -8 2
25 24.6 10.6 -3 0 1 -4 2
27 24.7 10.6 -2 0 1 -8 2
26 24.8 10.6 -3 0 1 0 2
21 24.8 11.1 2 0 1 -8 2
29 24.9 10.5 -2 0 1 0 2
28 25.0 10.6 -2 0 1 -4 2
24 25.1 10.7 -3 0 1 -8 2
16 25.1 10.6 0.5 0 1 -4 2
22 25.2 10.8 2 0 1 -4 2
20 25.3 10.6 1 0 1 0 2
17 25.3 10.5 0.5 0 1 0 2
13 25.4 10.6 0 0 1 -4 2
23 25.4 10.7 2 0 1 0 2
18 25.5 10.8 1 0 1 -8 2
14 25.5 10.4 0 0 1 0 2
10 25.5 10.4 -0.5 0 1 -4 2
11 25.6 10.6 -0.5 0 1 0 2
15 25.6 10.7 0.5 0 1 -8 2
12 25.6 10.7 0 0 1 -8 2
19 25.7 10.6 1 0 1 -4 2
8 25.8 10.5 -1 0 1 0 2
9 26.0 10.7 -0.5 0 1 -8 2
4 26.3 10.5 -2 0 1 -4 2
5 26.3 10.5 -2 0 1 0 2
2 26.4 10.4 -3 0 1 0 2
7 26.5 10.5 -1 0 1 -4 2
6 26.5 10.7 -1 0 1 -8 2
1 26.6 10.6 -3 0 1 -4 2
3 26.9 10.5 -2 0 1 -8 2
0 27.2 10.6 -3 0 1 -8 2
