ID WinPercent avg_score info_value draw end pair
43 23.0 10.4 0 1 0 0
48 23.1 10.5 0 1 0 5
47 23.2 10.4 0 1 0 4
41 23.5 10.5 0 1 0 5
38 23.7 10.3 0 1 0 2
45 23.7 10.2 0 1 0 2
37 23.7 10.3 0 1 0 1
46 23.7 10.4 0 1 0 3
42 23.7 10.4 0 1 0 -4
40 23.8 10.4 0 1 0 4
32 23.9 10.3 0 1 0 3
36 24.1 10.3 0 1 0 0
44 24.2 10.2 0 1 0 1
34 24.2 10.5 0 1 0 5
33 24.4 10.3 0 1 0 4
28 24.4 10.4 0 1 0 -4
35 24.5 10.5 0 1 0 -4
17 24.5 10.4 0 1 0 2
39 24.6 10.2 0 1 0 3
29 24.6 10.2 0 1 0 0
30 24.6 10.4 0 1 0 1
31 24.7 10.2 0 1 0 2
24 24.8 10.3 0 1 0 2
27 24.9 10.4 0 1 0 5
26 25.0 10.3 0 1 0 4
18 25.1 10.4 0 1 0 3
19 25.3 10.3 0 1 0 4
23 25.3 10.3 0 1 0 1
22 25.3 10.2 0 1 0 0
15 25.4 10.3 0 1 0 0
25 25.4 10.2 0 1 0 3
14 25.4 10.4 0 1 0 -4
16 25.5 10.2 0 1 0 1
20 25.5 10.4 0 1 0 5
21 25.6 10.3 0 1 0 -4
12 25.6 10.3 0 1 0 4
11 25.7 10.4 0 1 0 3
10 25.7 10.3 0 1 0 2
7 25.9 10.4 0 1 0 -4
13 26.0 10.5 0 1 0 5
1 26.0 10.2 0 1 0 0
9 26.0 10.2 0 1 0 1
8 26.2 10.3 0 1 0 0
6 26.2 10.5 0 1 0 5
2 26.5 10.4 0 1 0 1
4 26.5 10.4 0 1 0 3
3 26.5 10.2 0 1 0 2
0 26.7 10.4 0 1 0 -4
5 26.8 10.3 0 1 0 4
